"","idnum","m4a4","m5a4","kind_a5","kind_a6","kind_a7","scoreKind","t5c13a","t5c13b","t5c13c","score","X","f1g9a","f1g9b","f1g9c","f1g9d","f1g9e","f1g9f","f1g9g","f1g9h","f1g9i","f1g9j","f1g9k","f1g9l","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2c3a","m3b4a","m3b4b","m3b4c","m3b4d","m3b4e","m3b4f","m3b4g","m3b4h","m3b4i","m3b4j","m3b4k","m3b4l","m3b4m","m3c3a","m3c3b","m3c3c","m3c3d","m3c3e","m3c3f","m3c3g","m3c3h","m3c3i","m3c3j","m3c3k","m3c3l","m3c3m","f3c3a","f3c3b","f3c3c","f3c3d","f3c3e","f3c3f","f3c3g","f3c3h","f3c3i","f3c3j","f3c3k","f3c3l","f3c3m","f3b4a","f3b4b","f3b4c","f3b4d","f3b4e","f3b4f","f3b4g","f3b4h","f3b4i","f3b4j","f3b4k","f3b4l","f3b4m","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","f4b4a1","f4b4a2","f4b4a3","f4b4a4","f4b4a5","f4b4a6","f4b4a7","f4b4a8","f4c3a","f4c3b","f4c3c","f4c3d","f4c3e","f4c3f","f4c3g","f4c3h","f2b36a","f2b36b","f2b36c","f2b36d","f2b36e","f2b36f","f2b36g","f2b36h","f2c3a","f2c3b","f2c3c","f2c3d","f2c3e","f2c3f","f2c3g","f2c3h","f2c3i","f2c3j","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","tally","tally2"
"745",746,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,746,2,0,1,5,1,7,2,1,0,1,2,3,7,7,3,3,7,3,7,7,0,7,7,7,5,4,7,7,4,7,2,3,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0
"746",747,2,1,2,3,3,8,-9,-9,-9,-27,747,4,0,0,0,0,7,7,4,0,0,0,0,7,7,7,7,3,2,7,7,7,7,7,7,4,4,7,7,3,7,2,1,7,7,2,7,7,1,7,7,7,2,7,2,1,7,7,4,7,7,5,5,5,5,5,7,3,3,6,7,2,7,5,5,3,4,4,5,7,2,1,4,7,2,2,2,3,7,3,3,3,3,4,4,5,7,2,3,1,5,5,5,5,7,3,5,5,7,7,7,7,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,7,3,4,7,0,7,3,0,0
"747",748,5,6,NA,NA,NA,NA,2,1,2,5,748,0,0,0,1,0,2,0,2,0,7,0,0,5,7,2,3,5,1,0,3,NA,6,7,7,7,5,3,2,6,7,3,4,3,7,1,7,5,3,2,0,6,7,7,3,4,2,7,NA,7,7,0,3,NA,NA,NA,NA,3,2,NA,7,0,7,7,0,7,3,0,3,1,7,2,0,4,7,2,3,2,7,3,2,7,2,2,2,3,5,2,1,7,NA,NA,NA,NA,NA,NA,1,NA,7,7,0,7,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"748",749,1,1,5,5,4,14,4,4,4,12,749,1,0,0,0,0,0,0,0,1,0,0,0,7,7,3,3,0,2,7,7,7,7,7,7,2,4,4,4,0,5,1,1,7,7,7,7,7,0,2,1,4,0,4,0,1,7,1,7,7,7,7,7,7,7,7,7,1,2,1,4,5,7,7,3,2,2,1,3,7,1,1,0,3,2,0,0,0,2,0,2,5,5,3,2,2,7,3,2,4,7,7,7,7,7,2,2,7,7,7,3,3,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,1,2,7,7,7,7,0,0
"749",750,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"750",751,6,-9,4,4,4,12,-9,-9,-9,-27,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,4,7,3,7,7,NA,5,7,7,7,0,5,1,7,7,7,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"751",752,1,1,NA,NA,NA,NA,-9,-9,-9,-27,752,0,0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,0,7,7,7,7,0,1,7,7,2,7,7,0,0,2,2,2,2,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,7,2,2,4,3,2,2,5,7,5,2,3,4,3,4,5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"752",753,2,4,3,3,3,9,5,5,5,15,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,2,1,0,7,5,7,7,4,5,5,5,7,7,2,1,0,7,7,7,7,5,3,3,3,2,7,3,1,0,4,5,7,7,3,3,4,4,2,7,1,1,0,7,5,4,4,5,7,4,2,5,2,3,3,1,7,5,4,4,3,3,3,2,7,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,7,2,3,7,7,3,0,0
"753",754,5,6,3,-1,3,5,1,2,3,6,754,0,0,0,0,0,0,0,7,0,0,0,0,7,7,3,7,7,3,7,7,3,7,7,7,7,7,7,7,7,7,7,1,0,7,NA,0,NA,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,3,3,3,2,0,0
"754",755,1,1,NA,NA,NA,NA,4,4,4,12,755,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,1,7,7,2,NA,NA,NA,NA,NA,NA,5,7,7,7,5,5,2,7,7,0,2,7,7,3,7,7,7,5,7,1,7,7,0,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,4,3,7,0,4,3,NA,2,7,7,1,4,1,7,7,3,2,2,0,4,0,2,3,4,2,2,NA,4,0,5,4,4,4,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,7,NA,NA,0,0
"755",756,5,6,NA,NA,NA,NA,4,3,3,10,756,3,2,0,0,2,0,0,3,0,1,1,0,5,7,7,3,3,1,4,4,6,7,7,7,4,4,7,4,7,7,2,2,1,7,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,7,7,7,7,7,7,7,7,7,7,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2,0,0,1,3,3,3,3,7,3,1,3,7,7,7,7,7,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,6,5,6,4,NA,5,5,5,5,0,0
"756",757,1,1,4,4,4,12,3,3,3,9,757,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,3,7,7,7,4,7,7,7,7,7,5,7,7,2,0,1,7,3,7,7,2,7,2,2,7,7,2,0,1,1,4,7,7,7,5,7,3,7,7,1,1,4,2,2,7,7,4,7,1,1,3,7,2,1,0,2,2,5,5,5,5,3,1,7,1,2,2,5,7,2,2,7,2,4,7,7,7,2,3,7,7,0,3,2,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,2,7,7,7,7,0,0
"757",758,2,3,NA,NA,NA,NA,-9,-9,-9,-27,758,7,3,1,0,0,1,7,3,0,0,0,1,7,7,5,5,7,3,7,7,4,7,7,7,2,4,7,7,7,5,3,1,2,7,7,7,7,1,3,7,7,7,7,0,1,1,7,7,7,7,7,7,7,7,7,7,0,3,0,7,5,7,7,5,7,7,7,7,7,0,2,0,7,4,4,2,5,7,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,4,4,0,0
"758",759,2,4,NA,NA,NA,NA,-9,-9,-9,-27,759,1,4,0,0,0,0,1,2,2,0,0,0,7,1,0,2,7,0,7,7,7,3,7,7,2,7,7,7,7,4,0,0,7,7,2,7,7,0,0,3,2,3,2,0,0,7,7,7,7,7,7,7,7,7,7,7,0,1,7,7,7,7,7,2,7,7,3,7,7,0,1,7,7,4,2,7,4,7,5,2,2,7,5,5,7,7,3,1,7,5,5,5,7,7,3,1,7,7,5,1,7,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,2,0,5,7,7,4,0,0
"759",760,-9,-9,NA,NA,NA,NA,1,2,2,5,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,0,7,7,7,7,NA,1,7,7,0,1,1,1,1,7,7,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"760",761,-9,7,NA,NA,NA,NA,2,2,3,7,761,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,2,7,7,3,7,7,7,7,7,7,7,0,7,2,1,0,7,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,2,3,3,3,3,0,0
"761",762,5,2,2,2,2,6,1,1,2,4,762,0,3,0,0,0,0,0,2,0,0,0,0,7,7,7,7,7,7,7,7,3,5,7,7,7,6,7,5,7,6,7,3,0,7,5,7,7,5,5,5,5,6,7,7,3,0,7,7,7,7,7,7,7,7,7,7,7,5,0,7,6,6,7,7,7,6,6,5,7,7,5,0,7,5,5,1,5,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,3,3,3,0,0
"762",763,1,-9,NA,NA,NA,NA,-9,-9,-9,-27,763,7,2,0,2,0,7,1,3,3,0,2,0,3,7,7,4,7,2,7,7,3,2,7,7,3,7,3,7,7,7,2,2,7,7,2,7,7,4,3,7,7,5,7,2,2,2,2,7,7,7,4,4,4,3,5,7,3,1,7,7,5,7,7,3,7,3,3,5,7,3,1,7,7,7,7,7,7,7,2,2,7,7,1,1,5,7,3,4,7,7,7,3,3,7,4,5,7,7,7,0,0,7,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,7,2,2,4,7,3,0,0
"763",764,1,1,NA,NA,NA,NA,3,3,3,9,764,2,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,1,3,7,7,NA,7,7,7,7,7,3,3,5,7,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"764",765,5,2,NA,NA,NA,NA,2,2,2,6,765,3,0,1,0,0,7,0,7,7,0,1,0,7,3,2,NA,NA,NA,NA,NA,NA,7,7,7,3,0,4,0,7,7,1,2,0,7,2,7,4,0,2,0,0,1,3,0,2,0,3,NA,1,0,0,NA,1,0,0,0,1,NA,NA,NA,3,7,7,7,4,2,2,7,4,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,7,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,0
"765",766,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"766",767,-14,-6,NA,NA,NA,NA,1,2,1,4,767,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,2,7,1,7,7,7,7,7,7,2,3,7,2,7,7,1,2,0,7,7,7,7,4,1,7,1,7,7,1,2,0,7,7,7,7,7,7,7,6,5,5,4,1,7,7,7,7,7,NA,6,7,4,7,5,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,7,7,7,7,0,0
"767",768,1,3,NA,NA,NA,NA,-9,-9,-9,-27,768,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,7,7,7,5,7,7,5,5,5,2,6,7,0,3,7,7,3,7,7,3,2,2,0,4,4,1,3,2,7,7,7,7,7,1,7,7,7,7,0,4,5,7,2,7,7,1,1,2,3,6,7,0,2,2,7,2,5,5,4,7,5,3,3,2,7,7,7,7,5,1,3,7,7,7,7,7,3,3,7,7,7,0,0,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,7,2,7,3,0,0
"768",769,5,7,NA,NA,NA,NA,-9,-9,-9,-27,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,4,3,3,3,4,7,5,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"769",770,2,-9,NA,NA,NA,NA,1,2,2,5,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,6,7,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,7,3,0,0
"770",771,1,1,3,3,3,9,2,3,3,8,771,0,0,0,0,0,0,0,3,0,0,2,0,7,2,0,2,7,5,7,4,7,5,7,5,2,4,5,5,2,7,5,1,0,7,7,7,7,3,6,5,5,6,7,6,3,0,7,0,4,4,3,2,0,0,4,7,4,1,2,7,3,7,7,7,7,0,0,7,7,4,1,3,7,2,2,2,2,7,2,1,7,1,2,0,0,7,4,3,5,2,1,0,2,7,3,7,7,7,7,0,0,0,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,7,7,0,4,7,4,0,0
