"","idnum","m4a4","m5a4","kind_a5","kind_a6","kind_a7","scoreKind","t5c13a","t5c13b","t5c13c","score","X","f1g9a","f1g9b","f1g9c","f1g9d","f1g9e","f1g9f","f1g9g","f1g9h","f1g9i","f1g9j","f1g9k","f1g9l","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2c3a","m3b4a","m3b4b","m3b4c","m3b4d","m3b4e","m3b4f","m3b4g","m3b4h","m3b4i","m3b4j","m3b4k","m3b4l","m3b4m","m3c3a","m3c3b","m3c3c","m3c3d","m3c3e","m3c3f","m3c3g","m3c3h","m3c3i","m3c3j","m3c3k","m3c3l","m3c3m","f3c3a","f3c3b","f3c3c","f3c3d","f3c3e","f3c3f","f3c3g","f3c3h","f3c3i","f3c3j","f3c3k","f3c3l","f3c3m","f3b4a","f3b4b","f3b4c","f3b4d","f3b4e","f3b4f","f3b4g","f3b4h","f3b4i","f3b4j","f3b4k","f3b4l","f3b4m","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","f4b4a1","f4b4a2","f4b4a3","f4b4a4","f4b4a5","f4b4a6","f4b4a7","f4b4a8","f4c3a","f4c3b","f4c3c","f4c3d","f4c3e","f4c3f","f4c3g","f4c3h","f2b36a","f2b36b","f2b36c","f2b36d","f2b36e","f2b36f","f2b36g","f2b36h","f2c3a","f2c3b","f2c3c","f2c3d","f2c3e","f2c3f","f2c3g","f2c3h","f2c3i","f2c3j","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","tally","tally2"
"1",1,1,1,NA,NA,NA,NA,-9,-9,-9,-27,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,NA,NA,NA,NA,NA,NA,0,7,7,7,7,4,4,7,7,3,1,7,7,0,7,7,4,7,2,5,4,7,2,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,4,4,7,7,0,1,1,1,7,2,7,7,7,3,7,7,7,3,2,7,7,4,7,3,7,2,2,7,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,7,NA,NA,0,0
"2",1,1,1,NA,NA,NA,NA,-9,-9,-9,-27,1,2,0,0,0,0,4,0,0,0,0,0,0,7,3,7,1,3,5,7,7,1,4,7,7,7,5,5,5,7,7,5,1,0,7,4,7,7,5,3,2,3,5,7,4,1,0,7,3,7,7,7,7,4,7,7,7,2,2,7,7,7,7,7,7,7,4,7,7,7,3,2,7,7,0,0,1,2,3,3,1,2,0,0,1,3,3,1,1,7,4,4,4,4,4,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,3,7,7,7,0,0,0
"3",2,6,1,NA,NA,NA,NA,2,2,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,7,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,7,7,3,7,7,0,0
"4",2,6,1,NA,NA,NA,NA,2,2,2,6,2,2,0,2,0,2,0,0,0,2,0,2,0,7,3,1,0,7,2,7,3,NA,2,7,7,2,3,3,3,4,7,5,1,0,7,1,NA,NA,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5",3,5,-9,3,3,2,8,-9,-9,-9,-27,3,0,5,0,3,0,0,2,7,0,0,0,0,7,7,7,0,7,2,7,7,NA,7,7,7,3,7,7,3,7,7,1,0,7,7,7,7,7,2,4,3,3,4,7,7,0,7,2,7,7,7,7,7,7,7,7,7,7,3,0,4,7,7,7,7,7,7,7,4,4,7,2,0,5,NA,3,3,3,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,7,NA,3,3,3,3,0,0
"6",3,5,-9,3,3,2,8,-9,-9,-9,-27,3,0,0,0,2,0,3,0,0,0,0,1,3,7,7,7,0,3,2,7,7,3,7,7,7,2,3,5,0,2,4,0,1,0,7,2,7,7,2,2,0,0,3,4,0,1,0,2,2,7,7,2,2,1,1,3,3,0,0,7,4,0,7,7,0,1,0,0,2,3,0,0,7,2,3,1,2,7,7,5,5,4,0,1,0,3,7,1,1,1,2,4,4,3,7,1,1,2,2,2,2,0,2,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,3,7,7,7,3,0,0
"7",4,2,4,NA,NA,NA,NA,4,3,4,11,4,0,0,0,0,0,0,0,1,0,0,0,0,3,7,3,7,7,1,7,7,4,5,7,7,7,7,7,7,7,7,2,1,1,7,5,7,7,7,6,7,7,4,7,2,1,1,3,6,7,5,4,7,5,5,4,7,3,1,7,4,5,7,6,5,6,4,4,5,7,4,1,7,7,7,7,7,5,7,7,3,1,7,5,4,7,7,4,3,1,3,4,4,5,7,3,3,1,5,7,7,4,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,7,1,7,7,7,7,0,0
"8",5,6,6,NA,NA,NA,NA,3,3,3,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,4,2,4,4,0,7,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"9",6,6,7,NA,NA,NA,NA,2,3,3,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,5,5,7,7,NA,7,7,7,4,5,7,4,7,5,5,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10",7,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,0,0
"11",7,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,5,5,7,NA,3,7,7,7,3,3,3,3,4,1,3,7,7,3,7,7,6,7,3,3,6,7,1,3,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,3,4,1,7,7,7,1,1,7,7,3,2,3,7,7,5,4,7,6,6,6,5,6,5,3,7,7,6,6,6,7,6,5,7,4,5,7,7,5,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"12",8,3,-3,NA,NA,NA,NA,-9,-9,-9,-27,8,0,0,0,7,0,7,0,7,0,0,0,0,7,7,3,0,7,3,7,7,7,5,7,7,7,5,5,5,7,7,2,4,0,7,5,7,7,5,5,5,5,5,7,2,5,0,7,7,7,7,7,3,2,2,7,4,2,1,7,7,4,3,7,2,2,3,1,7,2,2,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,3,3,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,7,3,7,7,7,7,0,0
"13",9,5,7,NA,NA,NA,NA,3,3,2,8,9,3,7,7,7,2,1,1,1,1,1,1,2,7,7,3,NA,NA,NA,NA,NA,NA,7,7,7,7,2,4,2,0,7,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,NA,7,NA,NA,0,0
"14",10,3,3,3,3,3,9,3,3,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"15",11,1,1,4,4,4,12,3,3,3,9,11,7,7,7,2,7,7,4,7,4,0,7,0,7,7,3,3,7,4,7,7,3,6,7,7,7,7,7,7,7,6,5,2,3,7,3,7,7,3,2,4,4,7,7,0,0,7,5,7,7,7,7,3,4,7,5,7,4,1,0,3,0,7,7,3,2,3,7,5,7,0,0,0,4,2,1,7,7,3,1,2,7,0,1,2,3,7,1,1,7,3,3,3,1,7,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,0,7,5,7,0,0,0
"16",12,6,6,2,3,2,7,4,4,4,12,12,4,4,4,4,2,1,1,3,2,0,1,1,7,5,7,7,7,3,7,7,NA,7,7,7,7,7,7,7,7,7,7,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"17",13,6,7,NA,NA,NA,NA,-9,-9,-9,-27,13,1,2,0,1,0,7,0,2,3,0,0,0,7,6,2,2,7,0,7,7,2,3,7,7,3,3,7,3,2,7,0,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,2,2,0,0,0
"18",14,5,6,NA,NA,NA,NA,2,3,3,8,14,0,0,0,1,0,7,0,3,0,0,0,2,7,7,7,7,3,7,7,7,NA,7,7,7,7,5,7,0,7,7,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,2,4,4,3,5,3,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,2,2,2,3,1,5,4,3,2,5,NA,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"19",15,6,6,3,3,3,9,3,3,2,8,15,4,5,3,0,4,7,0,0,7,2,3,2,3,3,2,2,5,3,7,7,3,1,7,7,0,2,2,2,2,7,3,2,0,7,NA,3,3,0,3,3,3,3,3,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,5,2,5,7,7,7,1,7,7,7,0,0,0,2,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,0,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,3,3,3,3,3,0,0
"20",16,4,-9,NA,NA,NA,NA,-9,-9,-9,-27,16,2,0,0,0,0,7,2,2,0,0,2,0,5,5,3,3,7,6,7,7,3,4,7,7,4,4,2,4,5,7,7,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,3,5,3,0,0
"21",17,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"22",18,1,3,2,2,3,7,4,3,4,11,18,2,7,7,5,0,1,0,3,0,0,0,2,7,5,7,3,7,3,7,7,3,7,7,7,7,5,7,3,7,7,7,0,3,7,7,7,7,2,0,0,5,5,7,7,0,2,7,7,7,7,6,7,7,7,7,7,0,2,3,6,7,7,7,7,5,5,6,7,7,0,0,3,7,0,1,4,2,5,0,2,7,4,5,7,0,7,0,7,7,7,6,7,5,7,0,7,7,7,7,0,7,7,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,7,2,7,7,7,2,0,0
"23",19,6,7,NA,NA,NA,NA,-9,-9,-9,-27,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2,2,7,2,7,7,NA,3,7,7,7,0,5,5,5,7,2,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"24",20,1,-9,3,4,4,11,-9,-9,-9,-27,20,0,0,0,1,1,4,0,4,0,0,0,0,7,7,7,7,7,1,7,7,2,7,7,7,7,7,7,7,7,7,2,1,2,7,NA,7,7,0,2,0,4,7,7,1,1,0,0,7,7,7,7,7,7,7,7,7,1,2,7,7,2,7,7,7,3,0,0,5,4,1,1,5,5,5,5,6,7,7,3,3,5,2,2,2,3,5,2,3,4,5,5,5,5,5,3,5,3,7,5,0,0,7,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,7,0,7,7,7,0,0,0
"25",21,2,1,4,4,4,12,5,5,5,15,21,2,0,0,2,0,0,0,0,0,0,0,0,7,7,5,5,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,7,7,7,7,7,7,7,7,7,7,7,4,0,7,7,7,7,7,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,1,0,7,5,7,4,7,7,5,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,7,2,7,7,7,7,0,0
"26",22,5,7,3,3,3,9,3,2,2,7,22,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,2,7,7,0,7,7,7,7,0,7,7,3,7,3,0,0,7,0,3,3,0,0,0,0,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"27",23,1,3,2,2,2,6,2,3,2,7,23,0,0,0,0,0,5,0,0,0,0,0,0,3,7,3,3,4,2,7,7,3,2,7,7,1,3,3,3,2,3,7,1,7,7,1,7,7,1,2,1,1,1,3,1,1,2,2,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,2,2,2,3,4,4,2,4,5,5,7,4,7,3,5,3,6,4,5,3,7,6,6,7,7,7,3,7,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,4,4,4,7,2,0,0
"28",24,1,1,4,4,3,11,-9,-9,-9,-27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,2,5,3,7,7,2,5,7,5,3,4,2,2,2,7,2,1,3,7,1,1,6,1,1,1,2,2,5,0,1,3,1,7,7,7,7,7,7,7,7,7,2,1,7,7,7,7,7,7,7,7,7,7,7,0,1,7,7,0,0,0,0,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,6,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,2,2,3,2,3,0,0,0
"29",25,-9,7,NA,NA,NA,NA,-9,-9,-9,-27,25,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,3,7,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,5,4,2,2,4,5,4,5,0,6,7,7,5,4,4,0,4,7,7,5,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,2,7,2,7,5,7,5,0,1,0,3,0,0,1,7,0,0,0
"30",26,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,26,0,7,3,2,2,5,7,5,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,5,2,2,7,7,1,1,7,7,7,7,7,0,3,0,1,2,7,1,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31",27,5,6,NA,NA,NA,NA,-9,-9,-9,-27,27,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,0,7,NA,5,7,4,4,3,0,4,7,1,2,0,3,7,7,7,7,7,7,7,5,5,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,7,5,5,6,3,7,5,4,6,6,4,5,5,7,7,2,2,7,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,7,7,7,7,7,7,0,0
"32",28,-9,7,NA,NA,NA,NA,-9,-9,-9,-27,28,2,2,2,1,2,2,1,0,0,0,2,0,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,3,7,3,3,3,7,2,7,7,7,7,7,7,7,7,7,7,7,3,5,7,7,7,7,7,7,7,7,7,3,0,7,7,7,7,7,7,7,4,7,7,7,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,7,7,5,3,7,2,2,2,3,7,5,3,5,7,7,6,5,6,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,4,5,7,7,7,0,0
"33",29,1,1,NA,NA,NA,NA,3,3,3,9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,7,2,7,7,3,7,7,7,7,2,7,1,7,7,1,0,1,7,2,NA,NA,3,2,1,1,1,2,1,0,0,0,7,7,7,7,7,7,7,5,7,2,1,4,7,1,7,7,2,2,1,1,0,1,1,1,2,0,2,1,0,0,3,1,0,0,3,1,1,1,3,2,1,1,5,7,4,1,7,5,5,1,4,2,0,2,2,2,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,3,3,3,7,1,0,0
"34",30,6,-9,NA,NA,NA,NA,-9,-9,-9,-27,30,0,0,0,0,0,0,0,2,0,0,0,0,7,7,5,5,7,2,7,7,3,7,7,7,4,4,7,7,7,4,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,7,5,5,3,0,0,0,2,2,4,1,3,7,7,0,7,7,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,4,7,7,7,5,0,0
"35",31,5,7,NA,NA,NA,NA,1,1,1,3,31,2,0,0,0,5,7,0,0,5,0,0,0,7,2,0,0,4,3,7,7,7,1,7,7,7,3,4,2,5,7,3,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,3,7,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,4,1,7,7,7,5,0,0
"36",32,-9,-9,NA,NA,NA,NA,-9,-9,-9,-27,32,2,0,0,1,0,0,0,0,0,0,0,0,7,7,3,3,5,1,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,5,1,7,4,7,4,0,0
"37",33,5,7,2,2,2,6,2,2,2,6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,1,7,1,7,7,2,7,7,7,7,7,7,5,7,7,7,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,3,2,0,0
"38",34,5,6,NA,NA,NA,NA,-9,-9,-9,-27,34,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,4,7,0,7,7,0,6,7,7,7,4,7,7,7,7,2,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,7,7,7,7,7,7,7,3,2,7,7,4,4,7,6,NA,4,4,7,7,3,2,7,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,3,2,3,0,0
