"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"933","0933","09330",1,2,1,4,-6,7,-6,7,-6,5,-6,7,-6,7,-6,1,-6,3,-6,2,-6,1,4,25,-6,-6,-6,-6,3,2,7,7,7,7,1,2,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","0934","09340",1,1,2,3,-6,3,-6,2,-6,7,-6,7,-6,3,-6,2,-6,2,-6,2,-6,1,4,30,-6,-6,-6,-6,2,3,3,4,7,4,2,2,2,-6,1,1,2,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","0935","09350",1,3,2,5,-6,4,-6,4,-6,5,-6,3,-6,2,-6,3,-6,5,-6,1,3,1,4,42,-6,-6,-6,-6,2,1,1,1,-2,1,1,1,-2,-6,2,1,4,4,4,4,1,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","0936","09360",1,1,3,5,-6,5,-6,5,-6,7,-6,7,-6,7,-6,4,-6,5,-6,2,-6,1,5,40,-6,-6,-6,-6,4,4,4,3,7,4,3,5,2,-6,1,2,3,3,3,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","0937","09370",1,1,1,5,-6,5,-6,7,-6,4,-6,7,-6,4,-6,3,-6,7,-6,2,-6,1,3,30,-6,-6,-6,-6,4,3,3,4,7,4,2,7,2,-6,2,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","0938","09380",1,2,1,7,-6,7,-6,7,-6,3,-6,7,-6,0,-6,4,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","0939","09390",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,2,-6,7,-6,2,-6,1,7,40,-6,-6,-6,-6,7,7,7,4,6,4,3,7,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","0940","09400",1,1,1,7,-6,3,-6,2,-6,7,-6,7,-6,3,-6,2,-6,4,-6,1,4,1,5,40,-6,-6,-6,-6,3,3,2,5,7,2,2,3,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","0941","09410",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","0942","09420",1,2,2,2,-6,3,-6,1,-6,1,-6,5,-6,2,-6,1,-6,4,-6,1,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,-6,1,4,3,4,5,5,5,5,4,5,5,5,5
"943","0943","09430",1,1,1,3,-6,6,-6,6,-6,5,-6,5,-6,3,-6,5,-6,5,-6,2,-6,1,3,20,-6,-6,-6,-6,-2,5,5,5,5,2,0,5,1,3,2,1,4,4,2,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","0944","09440",1,3,2,3,-6,4,-6,7,-6,7,-6,7,-6,0,-6,4,-6,7,-6,1,3,2,-6,-6,-6,-6,-6,-6,0,0,4,4,2,0,0,4,2,-6,2,3,3,4,4,3,1,3,1,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","0945","09450",1,3,2,3,-6,4,-6,4,-6,4,-6,4,-6,2,-6,4,-6,5,-6,1,3,1,1,45,-6,-6,-6,-6,1,1,1,1,2,1,1,1,1,4,3,2,4,4,2,3,2,2,2,2,1,3,3,3,1,5,5,2,4,5,5,5,2
"946","0946","09460",1,1,1,7,-6,7,-6,0,-6,7,-6,7,-6,7,-6,2,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,3,7,0,7,7,7,2,7,2,-6,1,1,1,1,2,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","0947","09470",1,2,2,2,-6,3,-6,0,-6,0,-6,7,-6,7,-6,5,-6,7,-6,2,-6,1,3,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","0948","09480",1,2,1,4,-6,7,-6,5,-6,7,-6,7,-6,6,-6,3,-6,7,-6,1,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","0949","09490",1,1,1,3,-6,7,-6,5,-6,3,-6,5,-6,4,-6,2,-6,5,-6,1,2,1,1,40,-6,-6,-6,-6,1,1,5,2,4,3,0,7,1,3,1,1,2,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","0950","09500",1,1,1,6,-6,5,-6,5,-6,3,-6,7,-6,4,-6,6,-6,6,-6,2,-6,2,-6,-6,-6,-6,-6,-6,4,4,4,4,7,6,7,5,2,-6,1,1,1,1,1,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","0951","09510",1,3,3,3,-6,2,-6,2,-6,4,-6,7,-6,0,-6,2,-6,3,-6,2,-6,2,-6,-6,-6,-6,-6,-6,0,0,0,1,0,1,1,0,2,-6,3,4,4,4,4,4,2,2,4,-6,2,2,3,2,3,3,1,2,3,2,2,2,2
"952","0952","09520",1,1,1,7,-6,2,-6,0,-6,7,-6,4,-6,3,-6,6,-6,7,-6,1,3,2,-6,-6,-6,-6,-6,-6,2,5,1,2,5,1,1,2,1,4,1,3,4,4,4,3,1,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
