"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"953","0953","09530",1,2,1,4,-6,7,-6,4,-6,5,-6,4,-6,6,-6,2,-6,4,-6,2,-6,1,4,30,-6,-6,-6,-6,2,1,1,2,3,3,2,4,2,-6,2,1,2,1,2,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","0954","09540",1,1,2,5,-6,7,-6,4,-6,3,-6,7,-6,7,-6,2,-6,5,-6,2,-6,1,3,12,-6,-6,-6,-6,2,4,3,2,7,2,2,2,2,-6,1,1,1,2,1,-6,-6,-6,-6,1,2,4,3,4,5,5,5,5,4,4,5,5,5
"955","0955","09550",1,1,1,7,-6,4,-6,4,-6,7,-6,7,-6,7,-6,2,-6,3,-6,1,4,1,3,30,-6,-6,-6,-6,1,1,1,1,3,1,0,1,2,-6,3,2,3,4,4,3,3,4,4,1,1,4,3,4,3,5,5,5,4,5,5,5,5
"956","0956","09560",1,2,2,3,-6,5,-6,1,-6,5,-6,7,-6,2,-6,2,-6,4,-6,2,-6,1,3,40,-6,-6,-6,-6,1,1,0,1,5,2,1,5,2,-6,1,1,2,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","0957","09570",1,1,1,7,-6,7,-6,2,-6,1,-6,7,-6,2,-6,1,-6,7,-6,2,-6,1,4,35,-6,-6,-6,-6,2,1,2,2,2,2,1,2,2,-6,3,4,2,4,4,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","0958","09580",1,2,1,0,-6,4,-6,4,-6,7,-6,4,-6,7,-6,3,-6,7,-6,2,-6,1,5,35,-6,-6,-6,-6,0,-2,-2,2,2,1,0,2,2,-6,4,2,4,4,2,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","0959","09590",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,5,-6,2,-6,7,-6,1,3,2,-6,-6,-6,-6,-6,-6,5,2,2,2,7,5,2,7,1,4,1,1,1,1,2,-6,-6,-6,-6,-6,2,4,4,4,5,5,5,5,5,5,5,5,5
"960","0960","09600",1,2,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,1,40,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"961","0961","09610",1,2,1,0,-6,4,-6,0,-6,1,-6,7,-6,7,-6,3,-6,7,-6,1,3,1,4,35,-6,-6,-6,-6,0,-2,-2,-2,-2,-2,1,-2,2,-6,3,2,3,4,2,2,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"962","0962","09620",1,1,2,2,-6,4,-6,1,-6,7,-6,7,-6,5,-6,3,-6,7,-6,2,-6,1,5,30,-6,-6,-6,-6,6,6,2,7,7,5,2,6,2,-6,1,1,1,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"963","0963","09630",1,3,3,0,-6,3,-6,1,-6,7,-6,4,-6,2,-6,1,-6,7,-6,2,-6,1,3,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"964","0964","09640",1,2,3,0,-6,1,-6,0,-6,2,-6,2,-6,2,-6,1,-6,2,-6,1,4,1,7,35,-6,-6,-6,-6,0,1,0,2,7,1,2,1,1,4,2,2,4,4,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965","0965","09650",1,2,3,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,7,-6,1,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","0966","09660",1,2,1,7,-6,2,-6,1,-6,2,-6,7,-6,7,-6,2,-6,7,-6,1,2,1,7,20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","0967","09670",1,2,1,5,-6,7,-6,7,-6,7,-6,5,-6,7,-6,5,-6,3,-6,2,-6,1,5,15,-6,-6,-6,-6,3,6,6,6,6,5,2,3,2,-6,1,1,1,2,3,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968","0968","09680",1,2,2,7,-6,7,-6,7,-6,7,-6,7,-6,0,-6,1,-6,4,-6,2,-6,2,-6,-6,-6,-6,-6,-6,7,4,4,4,7,2,2,2,2,-6,1,1,1,1,2,-6,-6,-6,-6,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"969","0969","09690",1,2,1,0,-6,2,-6,2,-6,7,-6,7,-6,-2,-6,7,-6,7,-6,1,3,1,3,15,-6,-6,-6,-6,0,-2,0,3,7,5,7,7,2,-6,1,-2,-2,-2,-2,-6,-6,-6,-6,1,2,3,3,3,3,5,4,4,4,3,4,4,3
"970","0970","09700",1,1,1,1,-6,7,-6,3,-6,7,-6,7,-6,2,-6,1,-6,4,-6,2,-6,2,-6,-6,-6,-6,-6,-6,1,5,1,4,7,2,2,3,2,-6,1,1,1,1,1,-6,-6,-6,-6,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","0971","09710",1,1,1,7,-6,5,-6,7,-6,0,-6,7,-6,3,-6,3,-6,7,-6,1,2,1,3,30,-6,-6,-6,-6,0,0,0,0,7,0,0,0,2,-6,3,4,3,4,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","0972","09720",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","0973","09730",1,1,1,7,-6,3,-6,2,-6,5,-6,7,-6,5,-6,1,-6,5,-6,1,4,1,4,40,-6,-6,-6,-6,2,4,4,3,5,6,2,7,2,-6,1,1,1,1,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974","0974","09740",1,1,1,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,5,-6,7,-6,2,-6,1,5,25,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
