"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"981","0981","09810",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"982","0982","09820",1,2,7,1,-6,22,34,1,1,2,3,7,3,0,7,7,7,7,7,7,1,7,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,3,7,7,7,3,7,0,1,7,7,4,7,1,0
"983","0983","09830",0,1,-6,1,-6,24,37,-6,1,1,3,7,7,4,3,7,7,3,7,7,0,0,1,4,1,30,1,-6,-6,-6,-6,-6,-6,1,2,1,4,0,7,0,2,7,0,7,7,0,0
"984","0984","09840",1,4,-6,2,2,20,33,-6,-6,-6,7,7,7,7,7,7,4,7,7,7,3,0,1,3,2,-6,2,2,4,-6,-6,2,-6,0,1,1,1,0,1,0,2,1,1,1,1,1,0
"985","0985","09850",1,4,-6,2,3,26,36,-6,-6,-6,2,7,1,2,7,7,7,7,5,7,0,1,1,4,2,-6,2,2,10,-6,-6,1,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2
"986","0986","09860",1,2,7,1,-6,24,34,1,1,2,5,7,2,5,7,7,7,7,5,7,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,4,4,5,2,3,7,7,2,7,3,1,5,1,0
"987","0987","09870",0,4,-6,2,1,21,36,-6,-6,-6,7,7,7,7,7,7,5,7,7,7,2,7,1,3,2,-6,2,2,20,-6,-6,1,-2,2,2,2,2,4,4,2,2,7,2,2,2,1,2
"988","0988","09880",1,4,-6,2,3,31,36,-6,-6,-6,7,7,5,7,5,7,7,7,7,7,6,0,2,-6,1,14,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"989","0989","09890",1,1,-6,1,-6,32,33,-6,1,1,7,7,7,7,7,7,7,7,7,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,7,7,7,2,7,2,2,7,7,7,7,2,7
"990","0990","09900",0,5,-6,2,6,28,42,-6,-6,-6,3,7,4,3,5,7,7,3,4,7,3,0,1,4,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"991","0991","09910",0,5,-6,2,6,30,39,-6,-6,-6,4,7,7,5,6,7,7,6,6,6,1,7,2,-6,2,-6,2,2,0,8,1999,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"992","0992","09920",0,5,-6,2,5,22,33,-6,-6,-6,7,7,7,5,7,7,7,7,7,7,1,0,1,3,1,8,2,2,0,-2,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"993","0993","09930",1,5,-6,2,3,28,34,-6,-6,-6,4,7,7,0,0,7,7,7,0,7,2,1,1,4,1,35,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"994","0994","09940",1,1,-6,1,-6,34,34,-6,1,1,7,7,7,4,3,7,7,4,3,5,1,3,1,4,1,3,1,-6,-6,-6,-6,-6,-6,2,1,1,3,2,7,7,1,7,7,7,3,1,3
"995","0995","09950",1,1,-6,1,-6,35,34,-6,1,1,5,7,7,0,3,7,7,3,3,7,2,1,1,3,1,24,1,-6,-6,-6,-6,-6,-6,2,1,0,3,3,7,7,1,7,3,0,7,2,0
"996","0996","09960",0,5,-6,2,5,25,38,-6,-6,-6,7,7,7,2,7,7,7,0,2,7,1,1,2,-6,2,-6,2,2,0,12,2001,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
