"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"1","0001","00010",1,2,7,1,-6,29,36,1,1,2,0,7,7,7,4,7,7,4,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,0,2,5,4,2,7,3,2,7,4,7,7,1,7
"2","0002","00020",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3","0003","00030",1,2,7,1,-6,26,33,1,1,2,7,7,3,7,7,7,7,3,7,7,0,7,2,-6,1,25,1,-6,-6,-6,-6,-6,-6,7,3,3,4,7,7,2,2,7,2,4,7,0,7
"4","0004","00040",1,2,7,1,-6,26,35,1,1,2,5,7,7,7,7,7,7,7,7,7,1,1,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,7,4,2,7,3,2,7,7,6,7,1,1
"5","0005","00050",0,5,-6,2,5,27,37,-6,-6,-6,3,7,4,2,4,7,7,4,0,7,2,7,2,-6,1,40,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"6","0006","00060",0,5,-6,2,5,28,33,-6,-6,-6,7,7,4,5,7,7,7,4,7,5,3,7,1,3,1,30,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"7","0007","00070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"8","0008","00080",1,1,-6,1,-6,23,33,-6,1,1,5,7,7,5,5,7,7,5,7,7,4,0,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,5,5,5,5,2,7,7,1,7,5,5,7,5,0
"9","0009","00090",1,5,-6,2,3,27,40,-6,-6,-6,7,7,7,2,4,7,7,2,0,7,0,0,1,4,1,70,2,2,0,1,2001,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"10","0010","00100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",1,1,-6,1,-6,21,36,-6,1,1,6,7,7,7,7,7,7,7,7,6,2,3,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,3,4,4,7,0,7,5,1,7,3,2,7,0,7
"12","0012","00120",1,5,-6,2,4,23,37,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,0,1,4,2,-6,2,2,0,4,2003,1,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"13","0013","00130",0,5,-6,2,6,21,38,-6,-6,-6,3,7,3,3,7,7,5,3,2,7,1,3,1,3,1,41,2,2,0,1,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"14","0014","00140",1,3,-6,2,4,26,40,-6,-6,-6,7,7,7,5,7,7,0,0,7,7,1,0,2,-6,1,40,2,2,1,-6,-6,1,60,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"15","0015","00150",1,4,-6,2,1,25,35,-6,-6,-6,1,7,0,2,2,7,7,2,2,7,2,0,1,3,1,35,2,2,12,-6,-6,1,100,-2,3,3,3,0,3,3,2,3,0,3,3,1,0
"16","0016","00160",1,3,-6,2,2,21,34,-6,-6,-6,4,7,4,4,2,7,7,4,5,7,1,0,1,4,1,6,2,2,20,-6,-6,1,300,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"17","0017","00170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"18","0018","00180",1,1,-6,1,-6,31,33,-6,1,1,7,7,7,5,7,7,7,3,7,7,0,3,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,5,5,7,7,7,2,7,2,0,7,0,2
"19","0019","00190",0,5,-6,2,5,32,35,-6,-6,-6,3,7,7,0,5,7,7,5,5,7,1,0,1,4,1,20,2,2,0,3,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"20","0020","00200",1,2,7,1,-6,29,34,1,1,2,7,7,7,7,7,7,7,7,7,7,1,2,2,-6,1,24,1,-6,-6,-6,-6,-6,-6,-2,0,4,7,1,7,0,2,7,0,2,7,1,0
"21","0021","00210",1,2,7,1,-6,25,34,1,1,2,7,7,7,7,7,7,7,7,7,7,4,0,2,-6,1,20,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,7,7,2,7,7,7,7,4,0
"22","0022","00220",0,4,-6,2,2,22,34,-6,-6,-6,7,7,7,0,7,7,7,7,3,7,0,0,1,4,1,40,2,2,8,-6,-6,1,50,0,0,0,0,0,3,3,1,3,0,0,3,0,0
"23","0023","00230",1,1,-6,1,-6,22,34,-6,1,1,2,7,1,3,3,7,7,3,2,3,1,7,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,1,1,1,1,1,7,2,1,7,1,2,3,1,2
"24","0024","00240",1,1,-6,1,-6,35,33,-6,1,1,5,5,3,4,2,7,7,2,2,7,1,3,1,2,1,30,1,-6,-6,-6,-6,-6,-6,1,1,2,2,0,1,1,1,6,1,1,5,1,3
"25","0025","00250",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"26","0026","00260",0,1,-6,1,-6,21,33,-6,1,1,7,7,0,5,2,7,7,2,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,1,2,1,7,7,2,7,0,3,7,1,3
"27","0027","00270",1,4,-6,2,1,23,36,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,0,2,-6,1,30,2,2,20,-6,-6,1,14,-2,3,0,4,1,5,3,2,7,4,4,7,2,0
"28","0028","00280",1,2,3,2,1,42,37,1,3,2,7,7,7,7,7,7,7,7,3,7,3,3,1,4,2,-6,2,2,30,-6,-6,1,-2,2,7,7,7,7,7,3,2,7,7,7,7,7,7
"29","0029","00290",1,1,-6,1,-6,34,36,-6,1,1,7,7,7,2,7,7,7,1,7,7,0,1,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,2,1,1,1,1,-2,0,2,-2,3,2,2,0,0
"30","0030","00300",1,4,-6,2,3,21,35,-6,-6,-6,7,7,4,4,7,7,7,7,7,4,3,0,1,3,1,15,2,2,2,-6,-6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31","0031","00310",0,4,-6,2,2,21,38,-6,-6,-6,1,7,7,3,4,7,5,2,5,7,1,0,1,2,1,30,2,2,0,7,2002,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"32","0032","00320",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"33","0033","00330",0,5,-6,2,3,21,34,-6,-6,-6,7,7,7,7,7,7,7,5,7,7,2,0,1,4,1,30,2,2,0,12,2002,1,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"34","0034","00340",1,5,-6,2,1,32,36,-6,-6,-6,6,7,7,4,7,7,2,7,7,7,1,7,1,4,1,40,2,2,20,-6,-6,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"35","0035","00350",1,1,-6,1,-6,32,34,-6,1,1,7,7,7,7,7,7,7,7,7,7,1,7,2,-6,1,35,1,-6,-6,-6,-6,-6,-6,3,3,7,7,1,7,7,1,7,7,7,7,1,7
"36","0036","00360",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"37","0037","00370",0,4,-6,2,4,24,36,-6,-6,-6,2,7,5,0,1,7,3,1,4,5,1,1,2,-6,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"38","0038","00380",1,1,-6,1,-6,32,38,-6,1,1,1,7,1,4,2,7,7,2,5,6,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,1,2,2,2,1,7,0,2,7,1,1,7,1,2
"39","0039","00390",0,4,-6,2,1,33,34,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,0,0,1,4,2,-6,2,2,8,-6,-6,1,12,0,2,0,2,0,2,0,2,2,0,2,2,0,0
"40","0040","00400",0,2,7,1,-6,23,34,1,2,2,7,7,7,2,7,7,7,7,7,7,1,7,1,3,1,40,1,-6,-6,-6,-6,-6,-6,7,2,1,7,7,7,2,2,7,7,7,7,2,0
"41","0041","00410",1,1,-6,1,-6,29,36,-6,1,1,5,7,7,3,6,7,7,0,7,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,0,1,0,2,1,7,0,1,7,2,0,2,2,1
"42","0042","00420",0,4,-6,2,4,24,33,-6,-6,-6,7,7,3,4,2,7,7,1,2,7,0,0,1,3,1,25,2,2,0,11,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"43","0043","00430",0,5,-6,2,5,23,35,-6,-6,-6,7,7,7,3,4,7,7,2,7,7,1,7,1,1,1,40,2,2,0,11,2002,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"44","0044","00440",0,-14,-6,-6,-14,22,34,-6,-6,-6,2,7,7,3,7,7,7,7,5,7,1,7,1,4,1,40,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"45","0045","00450",1,1,-6,1,-6,40,39,-6,1,1,0,7,5,0,0,7,0,0,3,3,2,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,3,5,7,7,5,2,7,7,7,7,4,0
"46","0046","00460",1,4,-6,2,5,23,40,-6,-6,-6,4,7,7,5,5,7,7,3,7,7,2,0,1,2,2,-6,2,2,0,8,2002,1,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"47","0047","00470",1,4,-6,2,3,25,40,-6,-6,-6,2,7,7,7,7,7,7,7,7,7,1,0,2,-6,2,-6,2,2,8,-6,-6,1,-2,-2,2,2,2,0,2,2,2,2,0,0,2,2,0
"48","0048","00480",0,-14,-6,-6,-14,21,37,-6,-6,-6,3,7,7,0,5,7,7,5,7,7,1,7,2,-6,2,-6,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"49","0049","00490",1,1,-6,1,-6,31,41,-6,1,1,7,7,4,4,7,7,3,5,7,7,0,0,1,3,1,36,1,-6,-6,-6,-6,-6,-6,7,7,3,7,0,7,4,1,7,2,7,7,0,0
"50","0050","00500",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"51","0051","00510",1,1,-6,1,-6,33,32,-6,1,1,7,7,7,7,7,7,7,7,7,7,2,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,4,4,7,3,7,0,2,7,5,7,6,2,4
"52","0052","00520",0,4,-6,2,2,24,41,-6,-6,-6,4,5,3,2,2,7,4,2,2,4,1,0,2,-6,1,40,2,2,15,-6,-6,1,60,-2,-2,-2,2,3,5,3,2,3,-2,-2,2,3,0
"53","0053","00530",1,2,4,1,-6,28,34,1,1,2,7,7,4,4,5,7,7,7,7,6,1,7,2,-6,1,45,1,-6,-6,-6,-6,-6,-6,3,3,3,2,2,7,5,2,7,1,2,2,1,4
"54","0054","00540",1,1,-6,1,-6,40,36,-6,1,1,7,7,7,7,7,7,7,7,7,7,1,6,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,7,7,7,0,7,7,1,7,7,7,7,1,4
"55","0055","00550",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"56","0056","00560",1,1,-6,1,-6,22,38,-6,1,1,4,7,0,4,5,7,7,5,5,5,2,7,2,-6,1,30,1,-6,-6,-6,-6,-6,-6,4,5,5,4,0,7,4,2,7,0,5,7,2,7
"57","0057","00570",0,5,-6,2,6,22,34,-6,-6,-6,7,7,7,3,3,7,7,2,7,7,1,1,1,4,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"58","0058","00580",1,1,-6,1,-6,30,33,-6,1,1,5,7,7,6,7,7,5,7,5,7,-2,1,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,0,1,1,2,1,7,2,1,7,2,6,7,-2,0
"59","0059","00590",1,2,7,1,-6,19,38,1,1,2,0,7,0,0,0,7,3,0,2,2,1,0,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,0,0,1,7,1,2,3,0,0,0,1,0
"60","0060","00600",1,2,7,1,-6,20,34,1,1,2,7,7,4,7,7,7,7,7,7,7,2,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,4,3,3,3,3,7,4,1,7,2,3,7,2,0
"61","0061","00610",0,4,-6,2,2,29,46,-6,-6,-6,5,7,7,7,5,7,7,5,5,7,2,0,1,4,1,60,2,2,10,-6,-6,1,10,0,2,2,0,2,7,0,2,7,0,0,7,2,0
"62","0062","00620",0,4,-6,2,2,26,35,-6,-6,-6,7,3,7,7,1,7,7,1,0,7,1,0,1,3,1,40,2,2,20,-6,-6,2,-6,-2,-2,-2,2,3,4,2,2,4,-2,-2,-2,0,0
"63","0063","00630",1,2,7,1,-6,25,34,1,1,2,6,7,3,4,4,7,7,4,5,7,2,2,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,6,7,5,4,4,7,7,2,7,5,6,7,2,1
"64","0064","00640",0,5,-6,2,6,29,36,-6,-6,-6,1,4,2,1,1,7,7,1,1,7,1,1,2,-6,1,35,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"65","0065","00650",0,5,-6,2,5,21,39,-6,-6,-6,7,7,2,7,7,7,7,7,7,7,1,0,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"66","0066","00660",1,1,-6,1,-6,32,38,-6,1,1,7,7,7,7,7,7,7,2,7,7,3,7,2,-6,1,30,1,-6,-6,-6,-6,-6,-6,0,7,1,7,0,7,7,2,7,2,7,7,3,7
"67","0067","00670",1,1,-6,1,-6,34,35,-6,1,1,7,7,7,7,3,7,7,7,7,7,1,0,1,3,2,-6,1,-6,-6,-6,-6,-6,-6,7,3,2,7,7,7,7,1,7,7,7,7,1,0
"68","0068","00680",0,2,0,2,1,23,33,2,4,2,7,7,2,7,7,7,7,7,7,7,3,0,1,4,2,-6,2,2,8,-6,-6,2,-6,2,2,2,2,2,7,0,2,7,0,0,7,3,0
"69","0069","00690",1,1,-6,1,-6,45,44,-6,1,1,3,7,7,7,7,7,7,7,4,7,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,1,2,2,1,7,0,2,7,2,1,7,1,0
"70","0070","00700",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"71","0071","00710",0,5,-6,2,5,23,34,-6,-6,-6,7,7,7,3,7,7,7,7,7,7,2,0,2,-6,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"72","0072","00720",0,1,-6,1,-6,29,38,-6,1,1,7,7,7,7,7,7,7,7,7,7,1,7,2,-6,1,33,1,-6,-6,-6,-6,-6,-6,5,7,2,7,1,7,3,2,7,7,1,7,1,7
"73","0073","00730",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"74","0074","00740",1,1,-6,1,-6,29,35,-6,1,1,7,7,5,7,5,7,4,2,2,7,1,1,1,2,1,40,1,-6,-6,-6,-6,-6,-6,3,2,2,2,0,7,2,1,7,4,1,4,1,1
"75","0075","00750",0,1,-6,1,-6,24,36,-6,1,1,1,7,2,7,7,7,7,1,7,2,0,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,0,7,0,7,0,2,7,1,1,7,0,0
"76","0076","00760",1,2,7,1,-6,44,36,1,1,2,7,7,7,7,0,7,7,7,7,7,2,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,7,7,2,7,7,1,7,7,7,7,2,0
"77","0077","00770",0,3,-6,2,5,23,36,-6,-6,-6,0,7,5,0,3,7,7,1,2,6,1,1,1,3,1,50,2,2,0,8,2002,1,730,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"78","0078","00780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"79","0079","00790",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"80","0080","00800",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"81","0081","00810",1,2,2,2,1,22,35,1,4,2,3,7,4,2,3,7,4,1,4,4,2,7,1,3,2,-6,2,2,15,-6,-6,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2
"82","0082","00820",1,1,-6,1,-6,31,37,-6,1,1,7,7,7,5,5,7,7,7,5,7,1,3,2,-6,1,6,1,-6,-6,-6,-6,-6,-6,5,4,5,5,1,7,3,2,7,5,3,7,1,5
"83","0083","00830",0,4,-6,2,5,22,33,-6,-6,-6,7,7,7,2,7,7,7,7,7,7,1,7,2,-6,2,-6,2,2,0,11,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"84","0084","00840",1,3,-6,2,4,40,34,-6,-6,-6,5,7,2,2,3,5,7,3,3,5,1,2,1,4,1,10,2,2,0,3,2003,1,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"85","0085","00850",1,1,-6,1,-6,33,33,-6,1,1,7,7,7,0,7,7,7,4,3,3,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,1,0,3,0,0,7,0,2,7,0,0,7,1,2
"86","0086","00860",0,4,-6,2,2,32,35,-6,-6,-6,7,7,7,7,7,7,7,1,4,7,2,0,1,3,1,6,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"87","0087","00870",0,5,-6,2,6,27,36,-6,-6,-6,7,7,6,7,6,7,7,3,7,7,3,7,1,4,1,45,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"88","0088","00880",1,1,-6,1,-6,25,37,-6,1,1,2,7,3,3,3,7,7,1,1,7,1,0,1,2,1,20,1,-6,-6,-6,-6,-6,-6,0,1,0,1,1,7,0,1,7,0,1,7,2,0
"89","0089","00890",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"90","0090","00900",1,2,3,1,-6,24,38,1,1,2,7,7,7,7,7,7,7,7,7,7,1,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,3,3,3,3,3,2,3,3,3,3,1,0
"91","0091","00910",1,4,-6,2,1,27,35,-6,-6,-6,5,7,7,5,7,4,7,7,7,7,3,7,2,-6,1,7,2,2,30,-6,-6,1,100,5,7,7,7,6,5,7,2,7,7,7,7,1,7
"92","0092","00920",0,1,-6,1,-6,35,37,-6,1,1,3,7,3,2,4,7,7,2,3,4,2,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,3,2,2,2,2,7,7,2,7,2,3,3,2,0
"93","0093","00930",1,3,-6,2,5,31,36,-6,-6,-6,6,7,7,7,7,7,0,7,7,7,1,0,2,-6,2,-6,2,2,0,3,2002,1,180,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"94","0094","00940",0,5,-6,2,5,26,34,-6,-6,-6,6,7,2,0,2,7,7,7,5,7,1,0,2,-6,1,24,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"95","0095","00950",0,4,-6,2,2,22,36,-6,-6,-6,7,7,7,7,5,7,0,4,7,7,5,2,1,3,2,-6,2,2,2,-6,-6,1,-2,0,0,0,0,0,0,0,2,4,0,0,0,0,0
"96","0096","00960",1,2,7,1,-6,21,35,1,1,2,4,7,3,7,7,7,7,3,6,4,1,0,1,4,2,-6,1,-6,-6,-6,-6,-6,-6,4,5,2,7,4,7,7,2,7,5,2,4,1,1
"97","0097","00970",1,4,-6,2,3,30,34,-6,-6,-6,4,7,0,4,4,7,7,3,7,7,1,7,2,-6,1,40,2,2,7,-6,-6,1,7,2,2,2,4,1,3,3,2,7,0,3,5,0,3
"98","0098","00980",0,2,1,2,1,31,35,1,2,2,7,7,7,7,7,7,7,7,7,7,2,0,1,4,1,1,1,-6,-6,-6,-6,-6,-6,5,7,7,7,2,7,7,2,7,7,7,7,2,0
"99","0099","00990",0,2,7,1,-6,28,36,1,1,2,7,4,4,3,4,7,7,5,7,3,2,0,1,4,1,3,1,-6,-6,-6,-6,-6,-6,5,4,4,7,0,7,2,1,7,3,4,3,2,0
"100","0100","01000",0,2,7,1,-6,22,33,1,1,2,5,7,7,5,7,7,7,3,7,7,1,7,1,3,1,6,1,-6,-6,-6,-6,-6,-6,0,1,0,7,3,7,7,1,7,7,7,7,1,7
"101","0101","01010",1,2,3,2,1,31,38,2,4,2,7,7,7,7,7,7,0,7,7,7,2,0,1,1,1,40,2,2,30,-6,-6,1,475,7,7,7,7,3,7,0,2,7,3,7,7,2,0
"102","0102","01020",1,4,-6,2,1,24,35,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,7,1,3,1,30,2,2,30,-6,-6,2,-6,7,7,7,7,1,7,3,2,7,7,7,7,2,3
"103","0103","01030",1,1,-6,1,-6,31,37,-6,1,1,1,7,2,0,1,3,0,0,1,2,1,0,1,4,1,16,1,-6,-6,-6,-6,-6,-6,-2,2,0,0,0,7,0,1,7,1,0,0,2,3
"104","0104","01040",1,5,-6,2,5,28,36,-6,-6,-6,7,7,7,3,7,7,7,2,1,7,0,0,1,2,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"105","0105","01050",1,5,-6,2,3,27,33,-6,-6,-6,7,7,7,0,7,7,7,0,7,7,1,0,2,-6,2,-6,2,2,0,11,2002,1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"106","0106","01060",0,1,-6,1,-6,24,43,-6,1,1,1,7,7,7,7,7,7,1,7,7,1,7,1,1,1,35,1,-6,-6,-6,-6,-6,-6,1,7,1,7,2,7,7,1,7,3,7,7,1,7
"107","0107","01070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"108","0108","01080",1,1,-6,1,-6,35,34,-6,1,1,5,7,3,7,7,7,7,7,4,7,2,7,2,-6,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,0,7,7,2,7,2,7,7,2,3
"109","0109","01090",1,2,2,2,1,23,36,1,4,2,7,7,7,7,2,7,7,3,7,7,3,7,1,1,1,35,2,2,30,-6,-6,1,12,1,4,4,7,4,7,3,2,7,7,7,7,3,3
"110","0110","01100",0,4,-6,2,2,24,36,-6,-6,-6,3,7,3,2,4,7,7,4,2,6,1,0,2,-6,1,20,2,2,4,-6,-6,1,12,-2,1,1,1,1,3,-2,2,7,1,-2,-2,1,-2
"111","0111","01110",0,5,-6,2,6,20,35,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,7,2,-6,1,10,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"112","0112","01120",1,5,-6,2,6,21,37,-6,-6,-6,4,7,4,0,5,7,7,0,3,4,0,0,2,-6,1,40,2,2,0,1,2001,1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"113","0113","01130",1,4,-6,2,2,22,34,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,1,0,2,-6,1,20,2,2,20,-6,-6,1,40,0,3,3,3,0,3,1,2,7,0,3,3,0,0
