"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"4617","4617","46170",1,-6,-6,1,-6,26,19,0,7,7,7,7,2,3,7,1,2,-6,-5,1,60,1,-6,-6,-6,-6,-6,-6,7,0,0,0,7,3,0,0,7,0,-5,2
"4618","4618","46180",1,-6,-6,1,-6,31,12,0,4,3,6,0,5,2,7,7,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,3,2,2,2,2,3,3,7,0,-5,1
"4619","4619","46190",1,-6,-6,1,-6,19,13,0,7,4,3,1,7,3,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,5,3,1,2,5,2,7,7,7,5,-5,2
"4620","4620","46200",0,-6,-6,2,5,34,12,0,4,5,5,4,4,0,5,5,2,-6,-5,2,-6,2,2,0,3,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"4621","4621","46210",1,-6,-6,1,-6,30,13,0,4,7,4,4,4,2,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,4,2,2,3,2,7,7,7,3,-5,2
"4622","4622","46220",1,6,5,2,-1,23,22,-1,202,202,202,-5,-5,-5,-5,-5,1,2,4,-1,-6,2,2,-1,-6,-6,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,-6
"4623","4623","46230",1,-6,-6,1,-6,41,11,1,7,7,7,7,7,1,7,7,2,-6,-5,1,80,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,0,7,7,7,2,-5,2
"4624","4624","46240",1,-6,-6,2,2,20,17,0,7,5,1,2,2,-2,2,4,2,-6,-5,2,-6,2,2,8,-6,-6,1,100,1,3,0,0,3,0,3,3,3,3,-5,2
"4625","4625","46250",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"4626","4626","46260",1,-6,-6,1,-6,40,12,0,7,5,3,3,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,7,1,2,4,1,7,7,7,7,-5,2
