"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"1","0001","00010",1,-6,-6,1,-6,27,12,0,202,202,203,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,203,-5,201,-5,-5,201,-5,-5,1,2
"2","0002","00020",1,-6,-6,1,-6,27,16,0,201,203,201,201,201,201,201,201,2,-6,-5,1,7,1,-6,-6,-6,-6,-6,-6,201,201,204,204,201,201,201,202,201,201,-5,2
"3","0003","00030",1,-6,-6,2,2,25,17,0,201,201,201,205,201,203,201,201,2,-6,-5,1,30,2,2,4,-6,-6,1,400,-3,201,201,-3,201,-3,202,202,202,202,-5,2
"4","0004","00040",1,-6,-6,1,-6,25,12,0,3,7,3,7,7,1,7,7,2,-6,-5,1,12,1,-6,-6,-6,-6,-6,-6,4,2,4,4,7,1,7,7,7,7,-5,2
"5","0005","00050",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"6","0006","00060",0,-6,-6,2,5,27,12,0,5,5,7,5,5,5,7,7,2,-6,-5,1,32,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"7","0007","00070",0,-6,-6,2,3,33,15,0,201,201,204,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,2,-6,-6,-5,-5,-5,-5,204,-5,204,-5,-5,204,-5,-5,4,2
"8","0008","00080",1,-6,-6,1,-6,22,17,0,201,201,202,205,201,202,201,201,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,201,202,204,201,202,201,201,201,201,-5,1
"9","0009","00090",1,-6,-6,1,-6,25,14,0,201,201,202,-5,-5,-5,-5,-5,1,4,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,201,-5,-5,2,2
"10","0010","00100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",0,-6,-6,1,-6,20,18,0,7,7,3,3,7,4,7,7,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,2,1,1,3,0,7,5,7,0,-5,1
"12","0012","00120",1,-6,-6,2,5,20,12,2,7,5,7,7,7,3,7,7,1,4,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"13","0013","00130",1,-6,-6,2,1,19,12,0,7,6,2,2,7,0,7,7,1,2,-5,1,5,2,2,15,-6,-6,2,-6,2,0,0,0,0,0,2,2,2,0,-5,2
"14","0014","00140",1,-6,-6,2,4,24,22,0,7,7,7,7,3,7,7,7,2,-6,-5,1,99,2,2,0,3,2001,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"15","0015","00150",1,-6,-6,2,1,23,17,0,3,3,2,2,5,3,7,7,2,-6,-5,2,-6,2,2,20,-6,-6,1,-2,3,3,1,3,3,3,3,3,3,3,-5,2
"16","0016","00160",1,-6,-6,2,1,20,16,0,5,5,3,3,7,6,7,7,1,3,-5,1,25,1,-6,-6,-6,-6,-6,-6,3,2,2,2,3,2,3,3,5,3,-5,2
"17","0017","00170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"18","0018","00180",1,-6,-6,1,-6,29,12,0,7,5,7,3,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,0,3,2,7,2,7,7,7,2,-5,-2
"19","0019","00190",0,-6,-6,2,5,31,16,0,201,201,203,203,201,203,201,201,1,4,-5,2,-6,2,2,0,7,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"20","0020","00200",1,-6,-6,1,-6,27,20,1,7,7,7,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,0,2,7,0,7,7,7,0,-5,2
"21","0021","00210",1,-6,-6,1,-6,23,12,0,7,7,5,5,7,2,7,7,2,-6,-5,1,45,1,-6,-6,-6,-6,-6,-6,7,7,4,4,7,2,7,7,7,7,-5,2
"22","0022","00220",1,-6,-6,2,2,20,13,0,5,5,2,2,0,2,7,7,2,-6,-5,1,25,2,2,17,-6,-6,1,8,0,0,0,0,0,0,0,0,0,0,-5,2
"23","0023","00230",1,-6,-6,2,2,20,12,0,3,7,3,3,4,2,7,7,2,-6,-5,1,20,2,2,29,-6,-6,1,370,3,4,2,2,3,4,4,4,7,2,-5,2
"24","0024","00240",1,-6,-6,1,-6,33,11,0,5,0,2,2,5,3,7,7,1,4,-5,1,8,1,-6,-6,-6,-6,-6,-6,2,7,1,1,2,2,3,2,3,0,-5,2
"25","0025","00250",1,-6,-6,2,1,24,28,0,7,3,7,3,7,7,7,7,1,4,-5,2,-6,2,2,13,-6,-6,2,-6,2,0,1,0,3,0,0,1,7,0,-5,1
"26","0026","00260",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"27","0027","00270",1,-6,-6,1,-6,21,21,0,7,7,7,2,7,7,7,7,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,7,3,4,0,7,7,7,7,7,7,-5,2
"28","0028","00280",1,-6,-6,1,-6,41,19,0,7,7,7,7,7,5,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,4,5,7,7,7,-5,2
"29","0029","00290",1,-6,-6,1,-6,32,16,0,201,201,201,205,201,203,201,201,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,202,202,203,204,202,202,202,202,201,204,-5,2
"30","0030","00300",1,-6,-6,2,1,19,14,0,7,7,5,5,7,2,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,3,3,3,1,4,7,7,7,5,-5,2
"31","0031","00310",1,-6,-6,1,-6,19,17,0,7,2,0,0,4,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,0,0,2,4,1,7,7,7,5,-5,2
"32","0032","00320",0,-6,-6,1,-6,31,13,0,7,7,3,3,5,1,7,7,2,-6,-5,1,35,1,-6,-6,-6,-6,-6,-6,7,7,5,5,5,1,7,4,7,4,-5,2
"33","0033","00330",0,-6,-6,2,2,19,13,0,7,5,3,1,7,1,7,7,2,-6,-5,1,40,2,2,3,-6,-6,1,25,2,2,2,2,2,1,2,2,3,2,-5,2
"34","0034","00340",1,-6,-6,2,5,30,19,0,7,7,4,4,7,0,7,7,2,-6,-5,1,40,2,2,30,-6,-6,1,3,0,0,0,0,0,0,3,3,2,3,-5,2
"35","0035","00350",1,-6,-6,1,-6,30,12,0,7,7,5,5,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,1,2,2,7,1,7,7,7,3,-5,2
"36","0036","00360",0,-6,-6,2,5,25,14,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"37","0037","00370",0,-6,-6,2,1,23,20,0,7,3,5,0,7,3,7,7,2,-6,-5,1,30,2,2,15,-6,-6,2,-6,4,2,4,0,2,3,5,2,5,5,-5,2
"38","0038","00380",0,-6,-6,1,-6,30,13,1,5,7,3,3,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,3,5,7,2,0,1,7,4,-5,2
"39","0039","00390",0,-6,-6,2,0,31,13,0,7,7,2,7,7,7,7,7,2,-6,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"40","0040","00400",1,-6,-6,1,-6,21,13,0,3,3,7,7,7,0,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,2,4,0,7,1,3,7,7,7,-5,2
"41","0041","00410",1,-6,-6,1,-6,27,11,0,7,7,4,7,3,3,7,2,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,3,5,0,0,3,0,4,4,7,7,-5,2
"42","0042","00420",0,-6,-6,2,4,22,12,0,4,7,0,7,4,7,7,7,2,-6,-5,2,-6,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"43","0043","00430",0,-6,-6,2,4,21,11,0,7,7,0,0,3,3,7,7,1,2,-5,1,40,2,2,0,10,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"44","0044","00440",0,-6,-6,2,1,20,12,0,3,4,7,7,4,7,7,7,2,-6,-5,1,30,2,2,15,-6,-6,2,-6,2,0,2,2,1,5,1,4,3,0,-5,2
"45","0045","00450",0,-6,-6,2,1,38,14,0,7,0,0,0,3,7,7,7,2,-6,-5,1,40,2,2,7,-6,-6,1,4,2,0,0,0,0,5,0,0,3,0,-5,2
"46","0046","00460",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"47","0047","00470",1,-6,-6,2,2,23,12,0,3,7,3,2,7,3,7,7,2,-6,-5,1,5,2,2,10,-6,-6,1,4,-2,-2,-2,-2,-2,-2,4,4,4,0,-5,2
"48","0048","00480",0,-6,-6,1,-6,19,23,0,5,7,6,6,7,7,7,7,1,4,-5,1,40,1,-6,-6,-6,-6,-6,-6,4,5,7,6,7,1,7,7,7,6,-5,2
"49","0049","00490",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"50","0050","00500",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"51","0051","00510",1,-6,-6,1,-6,32,11,0,7,7,7,7,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,5,7,7,2,0,3,7,0,-5,2
"52","0052","00520",0,-6,-6,2,5,22,12,0,3,7,2,0,0,5,7,7,1,4,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"53","0053","00530",1,-6,-6,2,1,26,12,0,7,7,3,7,7,1,7,7,2,-6,-5,1,50,2,2,4,-6,-6,1,15,-2,0,2,2,2,0,0,2,2,2,-5,2
"54","0054","00540",1,-6,-6,1,-6,38,14,0,201,201,201,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,201,-5,201,-5,-5,202,-5,-5,1,1
"55","0055","00550",0,-6,-6,1,-6,31,15,0,202,202,205,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,201,-5,-5,1,2
"56","0056","00560",1,-6,-6,2,1,21,19,0,7,3,3,3,3,1,7,7,2,-6,-5,2,-6,2,2,4,-6,-6,1,300,1,0,1,1,1,1,1,1,1,1,-5,2
"57","0057","00570",0,-6,-6,2,3,20,11,0,7,7,3,3,7,5,7,7,1,4,-5,2,-6,2,2,3,-6,-6,2,-6,3,0,0,0,1,1,0,0,3,0,-5,2
"58","0058","00580",1,-6,-6,1,-6,28,12,0,7,5,7,3,7,2,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,0,2,5,1,3,1,6,0,-5,-2
"59","0059","00590",1,-6,-6,1,-6,17,14,0,205,204,205,-5,-5,-5,-5,-5,2,-6,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,202,-5,-5,2,2
"60","0060","00600",1,-6,-6,1,-6,19,14,0,5,7,7,7,5,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,7,7,5,7,7,7,7,7,-5,2
"61","0061","00610",1,-6,-6,2,1,27,20,0,7,7,7,7,7,3,7,7,1,4,-5,1,45,2,2,25,-6,-6,2,-6,5,5,2,5,5,4,5,5,5,0,-5,2
"62","0062","00620",1,-6,-6,2,3,25,17,0,7,3,2,2,7,2,7,7,2,-6,-5,2,-6,2,2,2,-6,-6,1,3,0,0,0,0,0,0,0,0,0,0,-5,2
"63","0063","00630",1,-6,-6,1,-6,23,15,0,5,7,2,2,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,4,2,2,5,2,0,7,7,2,-5,2
"64","0064","00640",0,-6,-6,2,0,27,19,0,2,7,7,1,7,2,7,7,2,-6,-5,2,-6,2,2,0,8,2000,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"65","0065","00650",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"66","0066","00660",1,-6,-6,1,-6,30,16,0,201,201,201,201,201,205,201,201,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,204,204,204,204,204,204,204,204,204,204,-5,2
"67","0067","00670",1,-6,-6,1,-6,33,11,0,7,3,7,7,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,4,4,7,3,7,7,7,7,-5,2
"68","0068","00680",1,-6,-6,2,1,21,13,0,7,3,2,2,7,7,7,7,2,-6,-5,2,-6,2,2,2,-6,-6,2,-6,5,3,2,2,5,5,4,4,4,4,-5,2
"69","0069","00690",1,-6,-6,1,-6,42,13,0,201,201,205,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,202,-5,-5,2,2
"70","0070","00700",1,-6,-6,1,-6,37,23,0,7,7,6,6,7,7,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,3,3,3,4,0,1,2,7,3,-5,2
"71","0071","00710",0,-6,-6,2,0,22,16,2,7,7,7,7,7,6,7,7,2,-6,-5,1,30,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"72","0072","00720",0,-6,-6,1,-6,27,18,0,2,7,7,7,7,7,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,7,3,3,1,1,7,7,7,3,-5,2
"73","0073","00730",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"74","0074","00740",1,-6,-6,1,-6,28,16,0,201,201,201,202,202,203,201,203,1,3,-5,1,40,1,-6,-6,-6,-6,-6,-6,201,202,202,202,202,202,201,201,201,201,-5,2
"75","0075","00750",1,-6,-6,1,-6,22,11,0,7,2,2,2,2,1,7,7,1,1,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,-2,1,0,7,2,0,0,7,2,-5,2
"76","0076","00760",1,-6,-6,1,-6,42,12,0,201,201,201,-5,-5,-5,-5,-5,1,4,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,201,-5,201,-5,-5,201,-5,-5,1,2
"77","0077","00770",1,-6,-6,1,-6,21,13,0,1,2,0,0,4,0,7,7,1,3,-5,1,40,1,-6,-6,-6,-6,-6,-6,3,0,0,0,3,1,7,7,7,7,-5,1
"78","0078","00780",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"79","0079","00790",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"80","0080","00800",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"81","0081","00810",1,-6,-6,1,-6,20,13,0,7,7,1,1,4,2,7,7,2,-6,-5,1,24,1,-6,-6,-6,-6,-6,-6,5,7,0,0,5,2,7,7,7,4,-5,2
"82","0082","00820",0,-6,-6,1,-6,30,19,0,7,7,7,7,7,4,7,7,2,-6,-5,1,10,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,0,4,7,7,0,-5,2
"83","0083","00830",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"84","0084","00840",0,-6,-6,1,-6,38,11,0,7,3,1,1,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,1,1,3,1,3,7,7,3,-5,2
"85","0085","00850",1,-6,-6,1,-6,32,12,0,7,5,0,0,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,0,0,3,0,0,1,7,0,-5,2
"86","0086","00860",0,-6,-6,2,0,30,17,0,7,7,4,4,4,1,7,7,2,-6,-5,1,2,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"87","0087","00870",0,-6,-6,2,2,26,17,0,201,201,203,203,201,202,201,201,1,4,-5,1,10,2,2,10,-6,-6,2,-6,202,204,204,204,203,204,204,204,202,204,-5,2
"88","0088","00880",1,-6,-6,1,-6,23,13,1,201,201,202,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,202,-5,-5,3,1
"89","0089","00890",1,-6,-6,1,-6,24,13,0,7,7,7,7,7,4,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,5,0,1,2,3,2,0,3,7,5,-5,2
"90","0090","00900",1,-6,-6,1,-6,22,14,0,7,7,3,4,7,7,7,7,2,-6,-5,1,36,1,-6,-6,-6,-6,-6,-6,4,0,0,0,4,0,7,7,7,2,-5,2
"91","0091","00910",1,11,4,2,1,26,17,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-6,2,2,0,-2,1999,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"92","0092","00920",1,-6,-6,1,-6,33,14,0,202,202,202,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,201,-5,-5,1,2
"93","0093","00930",1,-6,-6,1,-6,29,14,0,7,7,5,5,7,4,7,4,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,3,2,7,2,7,7,7,3,-5,2
"94","0094","00940",0,-6,-6,2,4,25,15,0,7,7,1,1,7,2,7,7,1,4,-5,2,-6,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"95","0095","00950",0,-6,-6,2,2,21,18,0,3,3,3,3,5,4,7,7,1,4,-5,1,50,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"96","0096","00960",1,-6,-6,1,-6,19,17,0,4,6,4,2,6,4,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,4,5,4,3,5,3,7,7,7,7,-5,2
"97","0097","00970",1,-6,-6,2,4,29,18,5,7,3,2,3,4,1,7,7,2,-6,-5,1,24,2,2,1,-6,-6,1,10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"98","0098","00980",0,-6,-6,2,2,29,14,0,7,7,7,7,7,2,7,7,2,-6,-5,1,43,2,2,20,-6,-6,1,-2,3,3,3,3,3,1,3,3,3,0,-5,2
"99","0099","00990",1,-6,-6,1,-6,27,17,0,7,2,1,6,7,3,7,7,2,-6,-5,1,5,1,-6,-6,-6,-6,-6,-6,7,7,3,7,7,2,5,7,7,7,-5,2
"100","0100","01000",1,-6,-6,1,-6,20,11,0,7,7,7,4,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,1,1,5,7,1,7,7,7,7,-5,2
"101","0101","01010",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"102","0102","01020",1,-6,-6,2,2,22,13,0,4,4,7,7,4,1,7,7,1,3,-5,1,20,2,2,20,-6,-6,2,-6,2,1,2,2,2,0,6,6,6,3,-5,2
"103","0103","01030",1,-6,-6,1,-6,29,12,0,7,3,4,5,3,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0,2,3,0,-5,2
"104","0104","01040",1,-6,-6,2,1,27,17,2,5,7,2,3,7,2,7,2,1,4,-5,1,4,2,2,30,-6,-6,1,999,7,0,0,0,3,0,7,7,7,7,-5,1
"105","0105","01050",0,-6,-6,2,1,25,12,0,7,7,7,7,7,4,7,7,2,-6,-5,2,-6,2,2,16,-6,-6,1,-2,4,4,-2,-2,4,3,3,4,4,4,-5,2
"106","0106","01060",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"107","0107","01070",1,-6,-6,1,-6,24,14,0,201,202,201,-5,-5,-5,-5,-5,1,4,4,2,-6,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,201,-5,-5,2,2
"108","0108","01080",1,-6,-6,1,-6,34,14,0,7,7,7,7,7,2,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,7,7,7,7,2,2,5,7,7,-5,2
"109","0109","01090",1,-6,-6,2,1,21,16,0,7,2,7,7,7,3,7,7,1,2,-5,1,40,2,2,30,-6,-6,2,-6,2,2,2,0,2,1,1,2,7,1,-5,2
"110","0110","01100",0,-6,-6,1,-6,22,19,0,5,7,0,2,7,2,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,1,0,2,4,2,7,5,7,3,-5,2
"111","0111","01110",0,-6,-6,2,0,19,16,0,201,202,201,201,201,201,201,201,1,4,-5,1,3,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"112","0112","01120",1,-6,-6,2,3,19,14,2,201,205,201,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,2,-6,-6,-5,-5,-5,-5,204,-5,204,-5,-5,204,-5,-5,3,2
"113","0113","01130",1,-6,-6,2,1,20,11,0,7,7,7,7,7,2,7,7,1,4,-5,1,40,2,2,25,-6,-6,1,300,3,2,2,2,5,2,7,4,7,2,-5,2
"114","0114","01140",1,-6,-6,1,-6,27,12,0,7,7,0,2,7,2,7,7,2,-6,-5,1,30,1,-6,-6,-6,-6,-6,-6,4,4,0,0,3,1,4,7,7,7,-5,2
"115","0115","01150",1,-6,-6,2,1,42,16,0,202,202,202,205,201,205,201,201,2,-6,-5,1,32,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"116","0116","01160",1,-6,-6,2,1,25,14,0,7,7,2,3,7,7,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,7,2,2,3,7,7,7,7,7,7,-5,2
"117","0117","01170",1,-6,-6,1,-6,28,14,0,7,7,5,3,7,6,7,7,1,4,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,3,3,5,2,0,3,7,7,-5,1
"118","0118","01180",1,-6,-6,1,-6,24,16,2,201,201,201,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,204,-5,201,-5,-5,204,-5,-5,4,2
"119","0119","01190",1,-6,-6,2,2,25,17,1,202,202,202,202,202,202,201,201,2,-6,-5,1,40,2,2,10,-6,-6,1,20,-3,203,203,203,202,202,202,202,202,202,-5,2
"120","0120","01200",1,-6,-6,1,-6,40,17,0,7,7,5,4,7,0,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,7,3,0,7,0,7,7,7,7,-5,2
"121","0121","01210",0,-6,-6,-6,-6,31,19,0,3,7,2,3,7,7,7,7,2,-6,-5,2,-6,2,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"122","0122","01220",1,-6,-6,1,-6,35,15,0,7,7,5,5,7,4,7,7,2,-6,-5,1,40,2,2,30,-6,-6,2,-6,7,7,3,5,7,7,7,7,7,7,-5,2
"123","0123","01230",0,-6,-6,2,1,19,12,0,7,7,4,7,3,7,7,7,2,-6,-5,1,14,2,2,30,-6,-6,2,-6,4,5,5,5,3,1,4,7,7,4,-5,2
"124","0124","01240",1,-6,-6,2,1,19,16,1,201,201,201,201,201,201,201,201,1,1,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,201,201,201,201,201,201,201,201,201,-5,2
"125","0125","01250",1,-6,-6,1,-6,33,15,0,5,2,1,1,6,2,7,7,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,2,0,0,0,2,2,0,0,7,0,-5,2
"126","0126","01260",1,-6,-6,2,1,23,19,0,7,5,0,0,4,1,7,7,1,1,-5,1,40,2,2,4,-6,-6,1,-2,7,0,5,4,7,2,7,7,7,7,-5,2
"127","0127","01270",1,-6,-6,1,-6,27,12,0,7,4,3,3,7,3,7,7,2,-6,-5,1,1,1,-6,-6,-6,-6,-6,-6,4,3,2,2,4,3,4,7,7,7,-5,2
"128","0128","01280",1,-6,-6,2,1,33,16,0,201,201,201,202,201,203,201,201,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,202,202,202,201,202,201,201,201,202,-5,2
"129","0129","01290",1,-6,-6,2,1,31,17,2,6,7,4,4,3,0,3,3,2,-6,-5,1,40,1,-6,-6,-6,-6,-6,-6,5,4,3,2,5,0,7,7,3,7,-5,2
"130","0130","01300",0,-6,-6,1,-6,25,9,0,7,7,7,2,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,7,5,5,0,7,2,2,5,7,0,-5,2
