"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"1","0001","00010",1,-3,1,1,2,2,26,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,4,5,4,"00011",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"2","0002","00020",0,2,2,1,2,2,25,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00021",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3","0003","00030",1,2,1,1,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00031",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,2,4,2
"4","0004","00040",1,2,1,1,1,2,24,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00041",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"5","0005","00050",0,2,1,2,1,2,24,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,1,5,5,4,"00051",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"6","0006","00060",0,2,1,2,2,2,26,1,2,2,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00061",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"7","0007","00070",1,2,1,2,2,2,32,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,2,5,4,"00071",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,2,2,-1,-1,-1
"8","0008","00080",1,2,1,2,2,2,21,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00081",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,4,5
"9","0009","00090",1,2,1,1,1,2,24,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"00091",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,3,4,3
"10","0010","00100",0,2,1,1,2,2,33,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00101",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",1,2,1,1,2,2,18,1,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00111",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,1,2,3
"12","0012","00120",1,2,1,1,2,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00121",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"13","0013","00130",1,2,1,2,1,2,18,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,1,5,5,4,"00131",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,2,5,3,4
"14","0014","00140",1,2,1,1,2,2,23,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00141",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"15","0015","00150",1,2,1,2,1,2,22,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00151",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,4,4,2
"16","0016","00160",1,2,1,1,2,2,19,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00161",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"17","0017","00170",0,2,1,2,2,2,29,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00171",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"18","0018","00180",1,1,-6,-6,-6,-6,28,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,2,"00181",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,1,4
"19","0019","00190",0,2,1,2,1,2,29,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,3,"00191",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"20","0020","00200",1,1,-6,-6,-6,-6,26,2,1,-6,-6,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00201",-6,-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,3
"21","0021","00210",1,2,1,1,2,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00211",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"22","0022","00220",1,2,1,2,2,2,19,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00221",1,-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,-6,-6,1,1,5,4,4
"23","0023","00230",1,2,1,1,2,2,19,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00231",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"24","0024","00240",0,1,-6,-6,-6,-6,33,2,1,-6,-6,1,-6,1,-6,2,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00241",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"25","0025","00250",1,2,1,2,2,2,22,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,4,3,2,"00251",2,-6,-6,2,-6,-6,2,-6,-6,2,-6,-6,-6,-6,2,2,5,4,4
"26","0026","00260",1,2,1,1,2,2,18,2,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00261",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,2,1,1,5,4,5
"27","0027","00270",1,2,2,1,1,2,20,2,2,2,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00271",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,5
"28","0028","00280",1,2,1,2,2,2,39,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,4,5,3,"00281",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,2
"29","0029","00290",0,1,-6,-6,-6,-6,31,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00291",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"30","0030","00300",1,2,1,2,2,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,2,1,5,5,4,"00301",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,3
"31","0031","00310",1,2,1,2,1,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00311",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"32","0032","00320",1,2,1,1,2,2,29,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00321",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"33","0033","00330",0,2,1,2,1,2,18,2,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,1,1,5,5,4,"00331",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"34","0034","00340",1,2,1,1,2,2,29,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00341",2,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,4,5
"35","0035","00350",1,1,-6,-6,-6,-6,30,1,1,-6,-6,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00351",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"36","0036","00360",0,2,1,2,2,2,24,1,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,5,5,3,"00361",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"37","0037","00370",0,2,1,2,1,2,21,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00371",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"38","0038","00380",1,1,-6,-6,-6,-6,29,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00381",-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"39","0039","00390",0,2,1,2,1,2,30,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,5,5,4,"00391",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"40","0040","00400",1,2,1,1,1,2,20,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00401",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,2,1,1,1,1,3,2
"41","0041","00410",1,2,1,2,2,2,26,1,2,2,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,2,5,5,4,"00411",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"42","0042","00420",0,2,1,2,2,2,21,2,2,1,1,-6,2,-6,2,-6,2,-6,3,-6,2,-6,1,1,5,5,4,"00421",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"43","0043","00430",0,2,1,2,1,2,20,2,2,2,1,-6,1,-6,2,-6,1,-6,3,-6,1,-6,2,2,4,5,4,"00431",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"44","0044","00440",0,2,1,2,2,2,19,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,5,5,4,"00441",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"45","0045","00450",0,2,1,2,2,2,37,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,2,-6,2,2,5,5,4,"00451",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"46","0046","00460",1,2,1,2,1,2,20,2,2,1,1,-6,1,-6,1,-6,1,-6,2,-6,1,-6,1,1,5,5,3,"00461",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,2,2
"47","0047","00470",1,2,1,1,2,2,21,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00471",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"48","0048","00480",0,2,1,1,2,2,17,2,2,1,1,-6,1,-6,1,-6,1,-6,2,-6,1,-6,1,1,5,3,3,"00481",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"49","0049","00490",1,1,-6,-6,-6,-6,28,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"00491",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"50","0050","00500",0,1,-6,-6,-6,-6,39,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00501",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"51","0051","00510",1,1,-6,-6,-6,-6,31,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00511",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"52","0052","00520",0,2,1,2,2,1,21,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,5,5,4,"00521",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"53","0053","00530",1,2,1,2,2,2,25,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,2,5,5,4,"00531",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,2,5,4,3
"54","0054","00540",1,1,-6,-6,-6,-6,37,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"00541",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"55","0055","00550",1,2,1,1,2,2,30,2,2,1,2,-6,2,-6,2,-6,1,-6,3,-5,2,-5,1,1,5,5,4,"00551",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,2,1,1,5,3,2
"56","0056","00560",1,2,1,1,2,2,19,2,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00561",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"57","0057","00570",0,2,1,2,2,2,19,2,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,2,-6,2,2,5,5,4,"00571",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"58","0058","00580",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00581",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"59","0059","00590",1,2,1,2,1,2,16,1,2,1,1,-6,2,-6,2,-6,2,-6,3,-5,1,-5,1,1,5,5,4,"00591",-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,3,2,1,1,5,1,3
"60","0060","00600",1,2,1,1,1,2,18,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00601",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,2,1,1,5,4,4
"61","0061","00610",1,2,1,1,2,2,25,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00611",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,1
"62","0062","00620",1,2,1,2,2,2,23,2,2,2,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00621",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,1,3,3,3
"63","0063","00630",0,2,1,1,2,2,22,1,2,1,2,-6,1,-6,1,-6,1,-6,1,-6,2,-6,1,1,5,5,4,"00631",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"64","0064","00640",1,2,1,1,2,2,26,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,3,-6,2,1,5,5,4,"00641",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,3,3
"65","0065","00650",1,2,1,1,2,2,18,2,2,1,2,-6,2,-6,2,-6,2,-6,3,-5,1,-5,1,1,5,5,4,"00651",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,5
"66","0066","00660",1,1,-6,-6,-6,-6,29,1,1,-6,-6,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00661",-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"67","0067","00670",1,1,-6,-6,-6,-6,32,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00671",-6,-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,4
"68","0068","00680",1,2,1,1,1,2,20,1,2,2,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,2,1,5,5,4,"00681",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,3,3
"69","0069","00690",0,1,-6,-6,-6,-6,41,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"00691",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"70","0070","00700",1,2,1,1,2,2,35,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00701",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"71","0071","00710",0,2,1,2,1,2,20,1,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,2,"00711",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"72","0072","00720",1,2,1,1,2,2,26,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00721",-6,2,-6,-6,1,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,5
"73","0073","00730",0,2,1,2,2,2,27,1,2,2,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00731",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"74","0074","00740",1,1,-6,-6,-6,-6,26,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00741",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"75","0075","00750",1,2,1,2,2,2,21,2,2,2,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00751",-6,1,-6,-6,-2,-6,-6,1,-6,-6,1,-6,3,1,2,1,5,3,4
"76","0076","00760",1,2,1,1,2,2,41,1,2,1,1,-6,1,-6,1,-6,2,-6,3,-5,1,-5,1,1,5,5,4,"00761",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"77","0077","00770",1,2,1,1,2,2,20,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00771",-6,1,-6,-6,1,-6,-6,1,-6,-6,2,-6,3,2,1,1,2,3,2
"78","0078","00780",0,2,1,2,1,2,24,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00781",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"79","0079","00790",1,2,1,1,2,1,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,2,1,5,5,4,"00791",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,3,4
"80","0080","00800",1,1,-6,-6,-6,-6,32,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00801",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"81","0081","00810",1,2,1,1,2,2,19,1,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00811",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"82","0082","00820",1,1,-6,-6,-6,-6,28,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,3,"00821",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,5
"83","0083","00830",0,1,-6,-6,-6,-6,19,1,1,-6,-6,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00831",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"84","0084","00840",1,2,1,2,2,2,37,2,2,2,1,-6,2,-6,1,-6,2,-6,3,-6,1,-6,1,1,4,4,3,"00841",-6,2,-6,-6,2,-6,-6,1,-6,-6,2,-6,3,1,1,2,5,4,5
"85","0085","00850",1,1,-6,-6,-6,-6,31,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00851",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"86","0086","00860",0,2,1,2,2,2,29,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,5,2,3,"00861",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"87","0087","00870",0,2,1,2,1,2,24,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,1,4,4,3,"00871",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"88","0088","00880",1,2,1,1,2,2,22,2,2,1,2,-6,1,-6,1,-6,1,-6,2,-5,1,-5,1,1,5,5,4,"00881",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,4,4,3
"89","0089","00890",1,2,1,1,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00891",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"90","0090","00900",1,2,1,1,2,2,21,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00901",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"91","0091","00910",1,2,1,1,2,2,24,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,1,2,"00911",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,2,1,1,-1,2,2
"92","0092","00920",1,1,-6,-6,-6,-6,32,1,1,-6,-6,1,-6,2,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"00921",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"93","0093","00930",1,1,-6,-6,-6,-6,28,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00931",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"94","0094","00940",0,2,1,2,2,2,24,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00941",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"95","0095","00950",1,2,1,2,2,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00951",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,5
"96","0096","00960",1,2,1,2,1,2,18,1,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00961",-6,1,-6,-6,1,-6,-6,2,-6,-6,2,-6,3,1,1,1,5,4,5
"97","0097","00970",1,2,1,2,1,2,27,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00971",1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,2,5,1,4
"98","0098","00980",0,2,1,2,2,2,28,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00981",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"99","0099","00990",1,2,1,2,2,2,25,2,2,2,2,-6,1,-6,2,-6,1,-6,2,-6,2,-6,1,1,5,5,4,"00991",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,4
"100","0100","01000",1,2,1,1,1,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"01001",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"101","0101","01010",1,2,1,2,1,2,28,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"01011",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,3,1,1,5,3,5
"102","0102","01020",1,2,1,1,2,2,21,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"01021",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,2,1,1,5,4,4
"103","0103","01030",1,1,-6,-6,-6,-6,28,1,1,-6,-6,2,-6,1,-6,2,-6,1,-6,3,-6,1,-6,-6,4,5,4,"01031",-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"104","0104","01040",1,2,1,1,2,2,25,2,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"01041",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,2,3,2
"105","0105","01050",1,2,1,2,2,2,24,2,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"01051",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,2,1,2,5,2,2
"106","0106","01060",1,2,1,1,1,2,21,1,2,1,1,-6,1,-6,2,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"01061",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,2,1,1,1,5,4,3
"107","0107","01070",1,2,1,2,1,2,23,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-5,1,-5,1,1,5,4,3,"01071",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,3,1,1,2,5,4,5
"108","0108","01080",1,1,-6,-6,-6,-6,32,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"01081",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,2,3
"109","0109","01090",1,2,1,2,2,2,20,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"01091",-6,1,-6,-6,1,-6,-6,1,-6,-6,2,-6,3,1,1,1,5,4,5
