"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2213","2213","22130",1,1,-6,-6,-6,-6,40,2,1,-6,-6,1,-6,2,-6,1,-6,2,-6,3,-6,1,-6,-6,5,5,4,"22131",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"2214","2214","22140",0,2,1,2,1,2,22,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22141",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2215","2215","22150",1,2,1,2,2,2,19,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,5,5,4,"22151",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,5
"2216","2216","22160",1,2,1,2,2,2,18,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22161",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
"2217","2217","22170",1,2,1,2,1,2,19,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22171",-6,-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,-6,-6,1,3,4
"2218","2218","22180",1,2,1,1,2,2,29,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,1,3,"22181",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"2219","2219","22190",1,2,1,1,2,2,21,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22191",-6,1,-6,-6,2,-6,-6,1,-6,-6,2,-6,2,1,2,1,5,3,4
"2220","2220","22200",0,2,1,2,1,2,36,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"22201",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2221","2221","22210",1,1,-6,-6,-6,-6,23,2,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22211",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,3,5
"2222","2222","22220",1,2,1,2,2,2,26,1,2,2,2,-6,1,-6,1,-6,2,-6,2,-6,2,-6,2,2,4,5,4,"22221",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,1
